ITEM CODE,SALE PRICE,,,,,,,,,,,,,,,,,,,,
00231084,3193,,,,,,,,,,,,,,,,,,,,
00231095,2180,,,,,,,,,,,,,,,,,,,,
00231103,2950,,,,,,,,,,,,,,,,,,,,
00231204,1700,,,,,,,,,,,,,,,,,,,,
00231242,5500,,,,,,,,,,,,,,,,,,,,
00231260,5500,,,,,,,,,,,,,,,,,,,,
00231789,4752,,,,,,,,,,,,,,,,,,,,
00231817,4866,,,,,,,,,,,,,,,,,,,,
00231819,7313,,,,,,,,,,,,,,,,,,,,
00231820,8080,,,,,,,,,,,,,,,,,,,,
00232096,15900,,,,,,,,,,,,,,,,,,,,
00232241,4500,,,,,,,,,,,,,,,,,,,,
00234765,1300,,,,,,,,,,,,,,,,,,,,
00234835,624,,,,,,,,,,,,,,,,,,,,
00235017,3676,,,,,,,,,,,,,,,,,,,,
00235090,1960,,,,,,,,,,,,,,,,,,,,
00235488,5200,,,,,,,,,,,,,,,,,,,,
00235499,3200,,,,,,,,,,,,,,,,,,,,
00235610,7761,,,,,,,,,,,,,,,,,,,,
00236277,1345,,,,,,,,,,,,,,,,,,,,
00236515,4936,,,,,,,,,,,,,,,,,,,,
00236563,4301,,,,,,,,,,,,,,,,,,,,
00236873,4400,,,,,,,,,,,,,,,,,,,,
00237092,4123,,,,,,,,,,,,,,,,,,,,
00237206,4504,,,,,,,,,,,,,,,,,,,,
00237750,5500,,,,,,,,,,,,,,,,,,,,
00237860,4926,,,,,,,,,,,,,,,,,,,,
00238078,2400,,,,,,,,,,,,,,,,,,,,
00238231,1780,,,,,,,,,,,,,,,,,,,,
00238438,2464,,,,,,,,,,,,,,,,,,,,
00238623,1995,,,,,,,,,,,,,,,,,,,,
00238897,803,,,,,,,,,,,,,,,,,,,,
00238902,622,,,,,,,,,,,,,,,,,,,,
00239062,4527,,,,,,,,,,,,,,,,,,,,
00239065,3700,,,,,,,,,,,,,,,,,,,,
00239171,1109,,,,,,,,,,,,,,,,,,,,
00239173,912,,,,,,,,,,,,,,,,,,,,
00239174,1096,,,,,,,,,,,,,,,,,,,,
00239178,1078,,,,,,,,,,,,,,,,,,,,
00239180,1043,,,,,,,,,,,,,,,,,,,,
00239182,1070,,,,,,,,,,,,,,,,,,,,
00239183,896,,,,,,,,,,,,,,,,,,,,
00239186,1090,,,,,,,,,,,,,,,,,,,,
00239187,952,,,,,,,,,,,,,,,,,,,,
00239188,923,,,,,,,,,,,,,,,,,,,,
00239189,941,,,,,,,,,,,,,,,,,,,,
00239190,941,,,,,,,,,,,,,,,,,,,,
00239193,871,,,,,,,,,,,,,,,,,,,,
00239558,2225,,,,,,,,,,,,,,,,,,,,
00239692,6044,,,,,,,,,,,,,,,,,,,,
00239937,1128,,,,,,,,,,,,,,,,,,,,
00241434,3600,,,,,,,,,,,,,,,,,,,,
00241456,6900,,,,,,,,,,,,,,,,,,,,
00241603,1636,,,,,,,,,,,,,,,,,,,,
00241610,1725,,,,,,,,,,,,,,,,,,,,
00242128,2077,,,,,,,,,,,,,,,,,,,,
00242642,7500,,,,,,,,,,,,,,,,,,,,
00242813,5222,,,,,,,,,,,,,,,,,,,,
00242847,1496,,,,,,,,,,,,,,,,,,,,
00243333,2965,,,,,,,,,,,,,,,,,,,,
00244595,1600,,,,,,,,,,,,,,,,,,,,
00245085,3300,,,,,,,,,,,,,,,,,,,,
00245111,3250,,,,,,,,,,,,,,,,,,,,
00245263,3699,,,,,,,,,,,,,,,,,,,,
00245877,4900,,,,,,,,,,,,,,,,,,,,
00245895,6500,,,,,,,,,,,,,,,,,,,,
00246453,4237,,,,,,,,,,,,,,,,,,,,
00246771,7500,,,,,,,,,,,,,,,,,,,,
00246772,8990,,,,,,,,,,,,,,,,,,,,
00247140,2298,,,,,,,,,,,,,,,,,,,,
00248348,6283,,,,,,,,,,,,,,,,,,,,
00248608,4872,,,,,,,,,,,,,,,,,,,,
00248664,1339,,,,,,,,,,,,,,,,,,,,
00248678,1643,,,,,,,,,,,,,,,,,,,,
00248683,865,,,,,,,,,,,,,,,,,,,,
00248695,5428,,,,,,,,,,,,,,,,,,,,
00248746,2200,,,,,,,,,,,,,,,,,,,,
00248747,1048,,,,,,,,,,,,,,,,,,,,
00248796,13227,,,,,,,,,,,,,,,,,,,,
00248851,4319,,,,,,,,,,,,,,,,,,,,
00248878,1324,,,,,,,,,,,,,,,,,,,,
00249488,11500,,,,,,,,,,,,,,,,,,,,
00249980,2070,,,,,,,,,,,,,,,,,,,,
00250169,3658,,,,,,,,,,,,,,,,,,,,
00250357,2250,,,,,,,,,,,,,,,,,,,,
00250512,5900,,,,,,,,,,,,,,,,,,,,
00250647,1429,,,,,,,,,,,,,,,,,,,,
00250921,721,,,,,,,,,,,,,,,,,,,,
00250924,604,,,,,,,,,,,,,,,,,,,,
00250954,402,,,,,,,,,,,,,,,,,,,,
00250973,362,,,,,,,,,,,,,,,,,,,,
00250977,373,,,,,,,,,,,,,,,,,,,,
00250980,305,,,,,,,,,,,,,,,,,,,,
00250983,453,,,,,,,,,,,,,,,,,,,,
00250995,489,,,,,,,,,,,,,,,,,,,,
00251373,2408,,,,,,,,,,,,,,,,,,,,
00251742,3838,,,,,,,,,,,,,,,,,,,,
00251749,5300,,,,,,,,,,,,,,,,,,,,
00252859,1870,,,,,,,,,,,,,,,,,,,,
00253070,2800,,,,,,,,,,,,,,,,,,,,
00253613,8150,,,,,,,,,,,,,,,,,,,,
00253759,3149,,,,,,,,,,,,,,,,,,,,
00253893,6629,,,,,,,,,,,,,,,,,,,,
00254504,1650,,,,,,,,,,,,,,,,,,,,
00254512,3221,,,,,,,,,,,,,,,,,,,,
00254801,4741,,,,,,,,,,,,,,,,,,,,
00255198,2800,,,,,,,,,,,,,,,,,,,,
00255294,4274,,,,,,,,,,,,,,,,,,,,
00255918,5731,,,,,,,,,,,,,,,,,,,,
00256883,7900,,,,,,,,,,,,,,,,,,,,
00257398,4600,,,,,,,,,,,,,,,,,,,,
00258010,5154,,,,,,,,,,,,,,,,,,,,
00258269,8457,,,,,,,,,,,,,,,,,,,,
00258905,2938,,,,,,,,,,,,,,,,,,,,
00260741,4216,,,,,,,,,,,,,,,,,,,,
00260786,856,,,,,,,,,,,,,,,,,,,,
00261035,11660,,,,,,,,,,,,,,,,,,,,
